FID_1,BARANGAY,TOTAL PUM:,POPULATION:,% COVERAGE OF PUM:,PUM Yesterday:,Difference:,Done:,Due Today:,Ongoing:,Male,Female,<15 [Female]:,<15 [Male]:,16-25 [Female]:,16-25 [Male]:,26-35 [Female]:,26-35 [Male]:,36-45 [Female]:,36-45 [Male]:,45 Up [Female]:,45 Up [Female]:,BIU Functional:,No. BHERT Team:,BIU Capacity:
51,CAMAMAN-AN,64,33951.21789,0.188506,55,9,55,0,9,33,31,2,2,5,1,15,15,3,3,6,12,No,3,0
54,CONSOLACION,37,11453.19805,0.323054,37,0,32,2,3,20,17,0,0,2,2,5,8,5,4,5,6,Yes,8,0
62,LAPASAN,45,47875.53152,0.093994,42,3,37,0,8,21,24,2,0,2,5,11,10,3,1,6,5,No,5,0
65,MACASANDIG,71,22765.87954,0.31187,71,0,63,1,7,28,43,1,1,5,4,10,10,8,3,19,10,No,3,0
64,MACABALAN,34,22747.21718,0.149469,33,1,34,0,0,16,18,0,0,2,4,7,5,4,1,5,6,Yes,1,2
67,NAZARETH,31,11411.4822,0.271656,31,0,29,2,0,15,16,0,2,2,2,6,6,4,4,4,1,Yes,2,0
1,BRGY. 01,1,383.127204,0.26101,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,No,0,0
2,BRGY. 02,0,77.942784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
4,BRGY. 04,0,87.822855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
5,BRGY. 05,0,85.627283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
6,BRGY. 06,0,120.756425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
7,BRGY. 07,0,560.968485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
8,BRGY. 08,0,141.614353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
10,BRGY. 10,1,862.859549,0.115894,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,No,0,0
11,BRGY. 11,1,223.94828,0.446532,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,No,0,0
12,BRGY. 12,0,282.130921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
13,BRGY. 13,4,1269.040252,0.315199,4,0,4,0,0,3,1,0,0,0,0,0,0,0,2,1,1,No,0,0
14,BRGY. 14,67,577.43527,11.603032,67,0,55,2,10,48,19,0,2,3,2,6,14,2,7,8,23,No,0,0
15,BRGY. 15,2,2249.362869,0.088914,2,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,Yes,0,0
16,BRGY. 16,1,39.520285,2.530346,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,No,0,0
17,BRGY. 17,2,2502.951362,0.079906,2,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,No,0,0
18,BRGY. 18,5,1713.643455,0.291776,5,0,5,0,0,3,2,0,0,0,0,2,1,0,1,0,1,No,0,0
19,BRGY. 19,2,386.420561,0.517571,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,No,0,0
20,BRGY. 20,0,75.747212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0
21,BRGY. 21,0,587.315342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0
